"","Operator","year","count"
"1","ALASKA AIRLINES INC",1978,2
"2","ALASKA AIRLINES INC",1979,3
"3","ALASKA AIRLINES INC",1980,1
"4","ALASKA AIRLINES INC",1981,1
"5","ALASKA AIRLINES INC",1982,1
"6","ALASKA AIRLINES INC",1983,1
"7","ALASKA AIRLINES INC",1984,2
"8","ALASKA AIRLINES INC",1986,8
"9","ALASKA AIRLINES INC",1987,8
"10","ALASKA AIRLINES INC",1988,7
"11","ALASKA AIRLINES INC",1989,10
"12","ALASKA AIRLINES INC",1990,2
"13","ALASKA AIRLINES INC",1991,10
"14","ALASKA AIRLINES INC",1992,2
"15","ALASKA AIRLINES INC",1993,1
"16","ALASKA AIRLINES INC",1994,5
"17","ALASKA AIRLINES INC",1995,9
"18","ALASKA AIRLINES INC",1996,4
"19","ALASKA AIRLINES INC",1997,4
"20","ALASKA AIRLINES INC",1998,4
"21","ALASKA AIRLINES INC",1999,5
"22","ALASKA AIRLINES INC",2000,6
"23","ALASKA AIRLINES INC",2001,3
"24","ALASKA AIRLINES INC",2002,3
"25","ALASKA AIRLINES INC",2003,3
"26","ALASKA AIRLINES INC",2004,4
"27","ALASKA AIRLINES INC",2005,6
"28","ALASKA AIRLINES INC",2006,5
"29","ALASKA AIRLINES INC",2007,5
"30","ALASKA AIRLINES INC",2008,2
"31","ALASKA AIRLINES INC",2009,3
"32","ALASKA AIRLINES INC",2010,1
"33","ALASKA AIRLINES INC",2011,2
"34","ALASKA AIRLINES INC",2015,2
"35","ALASKA AIRLINES INC",2017,1
"36","ALASKA AIRLINES INC",2018,1
"37","AMERICAN AIRLINES INC",1978,116
"38","AMERICAN AIRLINES INC",1979,132
"39","AMERICAN AIRLINES INC",1980,115
"40","AMERICAN AIRLINES INC",1981,78
"41","AMERICAN AIRLINES INC",1982,57
"42","AMERICAN AIRLINES INC",1983,50
"43","AMERICAN AIRLINES INC",1984,44
"44","AMERICAN AIRLINES INC",1985,76
"45","AMERICAN AIRLINES INC",1986,43
"46","AMERICAN AIRLINES INC",1987,49
"47","AMERICAN AIRLINES INC",1988,51
"48","AMERICAN AIRLINES INC",1989,55
"49","AMERICAN AIRLINES INC",1990,45
"50","AMERICAN AIRLINES INC",1991,75
"51","AMERICAN AIRLINES INC",1992,48
"52","AMERICAN AIRLINES INC",1993,35
"53","AMERICAN AIRLINES INC",1994,47
"54","AMERICAN AIRLINES INC",1995,33
"55","AMERICAN AIRLINES INC",1996,29
"56","AMERICAN AIRLINES INC",1997,27
"57","AMERICAN AIRLINES INC",1998,13
"58","AMERICAN AIRLINES INC",1999,27
"59","AMERICAN AIRLINES INC",2000,24
"60","AMERICAN AIRLINES INC",2001,18
"61","AMERICAN AIRLINES INC",2002,33
"62","AMERICAN AIRLINES INC",2003,15
"63","AMERICAN AIRLINES INC",2004,13
"64","AMERICAN AIRLINES INC",2005,9
"65","AMERICAN AIRLINES INC",2006,9
"66","AMERICAN AIRLINES INC",2007,8
"67","AMERICAN AIRLINES INC",2008,8
"68","AMERICAN AIRLINES INC",2009,8
"69","AMERICAN AIRLINES INC",2010,4
"70","AMERICAN AIRLINES INC",2011,6
"71","AMERICAN AIRLINES INC",2012,6
"72","AMERICAN AIRLINES INC",2013,2
"73","AMERICAN AIRLINES INC",2014,6
"74","DELTA AIR LINES INC",1978,76
"75","DELTA AIR LINES INC",1979,72
"76","DELTA AIR LINES INC",1980,83
"77","DELTA AIR LINES INC",1981,47
"78","DELTA AIR LINES INC",1982,20
"79","DELTA AIR LINES INC",1983,20
"80","DELTA AIR LINES INC",1984,16
"81","DELTA AIR LINES INC",1985,21
"82","DELTA AIR LINES INC",1986,29
"83","DELTA AIR LINES INC",1987,50
"84","DELTA AIR LINES INC",1988,46
"85","DELTA AIR LINES INC",1989,70
"86","DELTA AIR LINES INC",1990,100
"87","DELTA AIR LINES INC",1991,83
"88","DELTA AIR LINES INC",1992,73
"89","DELTA AIR LINES INC",1993,61
"90","DELTA AIR LINES INC",1994,38
"91","DELTA AIR LINES INC",1995,40
"92","DELTA AIR LINES INC",1996,58
"93","DELTA AIR LINES INC",1997,47
"94","DELTA AIR LINES INC",1998,40
"95","DELTA AIR LINES INC",1999,37
"96","DELTA AIR LINES INC",2000,45
"97","DELTA AIR LINES INC",2001,27
"98","DELTA AIR LINES INC",2002,19
"99","DELTA AIR LINES INC",2003,24
"100","DELTA AIR LINES INC",2004,17
"101","DELTA AIR LINES INC",2005,12
"102","DELTA AIR LINES INC",2006,11
"103","DELTA AIR LINES INC",2007,6
"104","DELTA AIR LINES INC",2008,10
"105","DELTA AIR LINES INC",2009,9
"106","DELTA AIR LINES INC",2010,12
"107","DELTA AIR LINES INC",2011,13
"108","DELTA AIR LINES INC",2012,9
"109","DELTA AIR LINES INC",2013,7
"110","DELTA AIR LINES INC",2014,7
"111","DELTA AIR LINES INC",2015,2
"112","DELTA AIR LINES INC",2016,2
"113","DELTA AIR LINES INC",2017,2
"114","DELTA AIR LINES INC",2018,1
"115","FRONTIER AIRLINES INC",1978,22
"116","FRONTIER AIRLINES INC",1979,15
"117","FRONTIER AIRLINES INC",1980,14
"118","FRONTIER AIRLINES INC",1981,7
"119","FRONTIER AIRLINES INC",1982,8
"120","FRONTIER AIRLINES INC",1983,9
"121","FRONTIER AIRLINES INC",1984,7
"122","FRONTIER AIRLINES INC",1985,7
"123","FRONTIER AIRLINES INC",1986,7
"124","FRONTIER AIRLINES INC",1995,2
"125","FRONTIER AIRLINES INC",1997,1
"126","FRONTIER AIRLINES INC",1998,4
"127","FRONTIER AIRLINES INC",1999,1
"128","FRONTIER AIRLINES INC",2001,1
"129","FRONTIER AIRLINES INC",2002,1
"130","FRONTIER AIRLINES INC",2003,1
"131","FRONTIER AIRLINES INC",2004,2
"132","FRONTIER AIRLINES INC",2005,3
"133","FRONTIER AIRLINES INC",2006,2
"134","FRONTIER AIRLINES INC",2008,8
"135","FRONTIER AIRLINES INC",2009,3
"136","FRONTIER AIRLINES INC",2010,2
"137","FRONTIER AIRLINES INC",2011,1
"138","FRONTIER AIRLINES INC",2013,2
"139","FRONTIER AIRLINES INC",2014,1
"140","FRONTIER AIRLINES INC",2015,3
"141","FRONTIER AIRLINES INC",2017,1
"142","FRONTIER AIRLINES INC",2018,1
"143","HAWAIIAN AIRLINES INC",1978,2
"144","HAWAIIAN AIRLINES INC",1979,1
"145","HAWAIIAN AIRLINES INC",1980,5
"146","HAWAIIAN AIRLINES INC",1981,2
"147","HAWAIIAN AIRLINES INC",1982,3
"148","HAWAIIAN AIRLINES INC",1984,2
"149","HAWAIIAN AIRLINES INC",1985,1
"150","HAWAIIAN AIRLINES INC",1986,2
"151","HAWAIIAN AIRLINES INC",1987,5
"152","HAWAIIAN AIRLINES INC",1988,6
"153","HAWAIIAN AIRLINES INC",1989,5
"154","HAWAIIAN AIRLINES INC",1990,3
"155","HAWAIIAN AIRLINES INC",1991,4
"156","HAWAIIAN AIRLINES INC",1992,2
"157","HAWAIIAN AIRLINES INC",1993,4
"158","HAWAIIAN AIRLINES INC",1994,2
"159","HAWAIIAN AIRLINES INC",1996,4
"160","HAWAIIAN AIRLINES INC",1997,2
"161","HAWAIIAN AIRLINES INC",1998,1
"162","HAWAIIAN AIRLINES INC",1999,1
"163","HAWAIIAN AIRLINES INC",2000,2
"164","HAWAIIAN AIRLINES INC",2001,1
"165","HAWAIIAN AIRLINES INC",2003,1
"166","HAWAIIAN AIRLINES INC",2004,1
"167","HAWAIIAN AIRLINES INC",2006,1
"168","HAWAIIAN AIRLINES INC",2008,1
"169","HAWAIIAN AIRLINES INC",2013,1
"170","HAWAIIAN AIRLINES INC",2015,1
"171","HAWAIIAN AIRLINES INC",2016,1
"172","HAWAIIAN AIRLINES INC",2017,1
"173","HAWAIIAN AIRLINES INC",2018,1
"174","SKYWEST AIRLINES INC",1979,4
"175","SKYWEST AIRLINES INC",1980,1
"176","SKYWEST AIRLINES INC",1981,2
"177","SKYWEST AIRLINES INC",1982,2
"178","SKYWEST AIRLINES INC",1983,1
"179","SKYWEST AIRLINES INC",1984,1
"180","SKYWEST AIRLINES INC",1985,1
"181","SKYWEST AIRLINES INC",1986,2
"182","SKYWEST AIRLINES INC",1987,6
"183","SKYWEST AIRLINES INC",1988,7
"184","SKYWEST AIRLINES INC",1989,6
"185","SKYWEST AIRLINES INC",1990,11
"186","SKYWEST AIRLINES INC",1991,3
"187","SKYWEST AIRLINES INC",1992,2
"188","SKYWEST AIRLINES INC",1993,2
"189","SKYWEST AIRLINES INC",1994,8
"190","SKYWEST AIRLINES INC",1995,4
"191","SKYWEST AIRLINES INC",1996,5
"192","SKYWEST AIRLINES INC",1997,1
"193","SKYWEST AIRLINES INC",1998,6
"194","SKYWEST AIRLINES INC",1999,8
"195","SKYWEST AIRLINES INC",2000,6
"196","SKYWEST AIRLINES INC",2002,4
"197","SKYWEST AIRLINES INC",2003,14
"198","SKYWEST AIRLINES INC",2004,15
"199","SKYWEST AIRLINES INC",2005,4
"200","SKYWEST AIRLINES INC",2006,10
"201","SKYWEST AIRLINES INC",2007,9
"202","SKYWEST AIRLINES INC",2008,25
"203","SKYWEST AIRLINES INC",2009,13
"204","SKYWEST AIRLINES INC",2010,9
"205","SKYWEST AIRLINES INC",2011,5
"206","SKYWEST AIRLINES INC",2012,5
"207","SKYWEST AIRLINES INC",2013,3
"208","SKYWEST AIRLINES INC",2014,1
"209","SKYWEST AIRLINES INC",2015,1
"210","SKYWEST AIRLINES INC",2016,3
"211","SKYWEST AIRLINES INC",2017,4
"212","SOUTHWEST AIRLINES CO",1978,8
"213","SOUTHWEST AIRLINES CO",1979,4
"214","SOUTHWEST AIRLINES CO",1980,11
"215","SOUTHWEST AIRLINES CO",1981,4
"216","SOUTHWEST AIRLINES CO",1982,8
"217","SOUTHWEST AIRLINES CO",1983,11
"218","SOUTHWEST AIRLINES CO",1984,3
"219","SOUTHWEST AIRLINES CO",1985,10
"220","SOUTHWEST AIRLINES CO",1986,7
"221","SOUTHWEST AIRLINES CO",1987,5
"222","SOUTHWEST AIRLINES CO",1988,6
"223","SOUTHWEST AIRLINES CO",1989,9
"224","SOUTHWEST AIRLINES CO",1990,16
"225","SOUTHWEST AIRLINES CO",1991,11
"226","SOUTHWEST AIRLINES CO",1992,8
"227","SOUTHWEST AIRLINES CO",1993,6
"228","SOUTHWEST AIRLINES CO",1994,6
"229","SOUTHWEST AIRLINES CO",1995,9
"230","SOUTHWEST AIRLINES CO",1996,14
"231","SOUTHWEST AIRLINES CO",1997,12
"232","SOUTHWEST AIRLINES CO",1998,14
"233","SOUTHWEST AIRLINES CO",1999,16
"234","SOUTHWEST AIRLINES CO",2000,12
"235","SOUTHWEST AIRLINES CO",2001,13
"236","SOUTHWEST AIRLINES CO",2002,14
"237","SOUTHWEST AIRLINES CO",2003,10
"238","SOUTHWEST AIRLINES CO",2004,15
"239","SOUTHWEST AIRLINES CO",2005,10
"240","SOUTHWEST AIRLINES CO",2006,3
"241","SOUTHWEST AIRLINES CO",2007,9
"242","SOUTHWEST AIRLINES CO",2008,11
"243","SOUTHWEST AIRLINES CO",2009,8
"244","SOUTHWEST AIRLINES CO",2010,9
"245","SOUTHWEST AIRLINES CO",2011,13
"246","SOUTHWEST AIRLINES CO",2012,8
"247","SOUTHWEST AIRLINES CO",2013,3
"248","SOUTHWEST AIRLINES CO",2014,5
"249","SOUTHWEST AIRLINES CO",2015,1
"250","SOUTHWEST AIRLINES CO",2016,2
"251","SOUTHWEST AIRLINES CO",2017,5
"252","SOUTHWEST AIRLINES CO",2018,1
"253","UNITED AIRLINES, INC.",1978,73
"254","UNITED AIRLINES, INC.",1979,82
"255","UNITED AIRLINES, INC.",1980,114
"256","UNITED AIRLINES, INC.",1981,73
"257","UNITED AIRLINES, INC.",1982,30
"258","UNITED AIRLINES, INC.",1983,41
"259","UNITED AIRLINES, INC.",1984,37
"260","UNITED AIRLINES, INC.",1985,47
"261","UNITED AIRLINES, INC.",1986,46
"262","UNITED AIRLINES, INC.",1987,34
"263","UNITED AIRLINES, INC.",1988,25
"264","UNITED AIRLINES, INC.",1989,44
"265","UNITED AIRLINES, INC.",1990,42
"266","UNITED AIRLINES, INC.",1991,48
"267","UNITED AIRLINES, INC.",1992,42
"268","UNITED AIRLINES, INC.",1993,24
"269","UNITED AIRLINES, INC.",1994,14
"270","UNITED AIRLINES, INC.",1995,29
"271","UNITED AIRLINES, INC.",1996,21
"272","UNITED AIRLINES, INC.",1997,27
"273","UNITED AIRLINES, INC.",1998,26
"274","UNITED AIRLINES, INC.",1999,39
"275","UNITED AIRLINES, INC.",2000,21
"276","UNITED AIRLINES, INC.",2001,15
"277","UNITED AIRLINES, INC.",2002,18
"278","UNITED AIRLINES, INC.",2003,16
"279","UNITED AIRLINES, INC.",2004,5
"280","UNITED AIRLINES, INC.",2005,10
"281","UNITED AIRLINES, INC.",2006,10
"282","UNITED AIRLINES, INC.",2007,5
"283","UNITED AIRLINES, INC.",2008,8
"284","UNITED AIRLINES, INC.",2009,7
"285","UNITED AIRLINES, INC.",2010,13
"286","UNITED AIRLINES, INC.",2011,5
"287","UNITED AIRLINES, INC.",1983,1
"288","UNITED AIRLINES, INC.",2012,1
"289","UNITED AIRLINES, INC.",2013,2
"290","UNITED AIRLINES, INC.",2014,9
"291","UNITED AIRLINES, INC.",2015,2
"292","UNITED AIRLINES, INC.",2016,3
"293","UNITED AIRLINES, INC.",2017,5
"294","UNITED AIRLINES, INC.",2018,6
"295","EXPRESSJET AIRLINES INC",1993,3
"296","EXPRESSJET AIRLINES INC",1994,8
"297","EXPRESSJET AIRLINES INC",1995,10
"298","EXPRESSJET AIRLINES INC",1996,20
"299","EXPRESSJET AIRLINES INC",1997,14
"300","EXPRESSJET AIRLINES INC",1998,14
"301","EXPRESSJET AIRLINES INC",1999,12
"302","EXPRESSJET AIRLINES INC",2000,12
"303","EXPRESSJET AIRLINES INC",2001,12
"304","EXPRESSJET AIRLINES INC",2002,4
"305","EXPRESSJET AIRLINES INC",2003,11
"306","EXPRESSJET AIRLINES INC",2004,11
"307","EXPRESSJET AIRLINES INC",2005,8
"308","EXPRESSJET AIRLINES INC",2006,6
"309","EXPRESSJET AIRLINES INC",2007,2
"310","EXPRESSJET AIRLINES INC",2008,4
"311","EXPRESSJET AIRLINES INC",2009,3
"312","EXPRESSJET AIRLINES INC",2010,8
"313","EXPRESSJET AIRLINES INC",2011,7
"314","EXPRESSJET AIRLINES INC",2012,7
"315","EXPRESSJET AIRLINES INC",2013,6
"316","EXPRESSJET AIRLINES INC",2014,4
"317","EXPRESSJET AIRLINES INC",2015,2
"318","EXPRESSJET AIRLINES INC",2017,1
"319","JETBLUE AIRWAYS CORPORATION",2002,2
"320","JETBLUE AIRWAYS CORPORATION",2004,4
"321","JETBLUE AIRWAYS CORPORATION",2005,2
"322","JETBLUE AIRWAYS CORPORATION",2006,1
"323","JETBLUE AIRWAYS CORPORATION",2007,3
"324","JETBLUE AIRWAYS CORPORATION",2010,2
"325","JETBLUE AIRWAYS CORPORATION",2012,1
"326","JETBLUE AIRWAYS CORPORATION",2013,3
"327","JETBLUE AIRWAYS CORPORATION",2014,3
"328","JETBLUE AIRWAYS CORPORATION",2017,1
"329","JETBLUE AIRWAYS CORPORATION",2018,1
"330","SPIRIT AIRLINES INC",1995,2
"331","SPIRIT AIRLINES INC",1998,2
"332","SPIRIT AIRLINES INC",1999,2
"333","SPIRIT AIRLINES INC",2000,1
"334","SPIRIT AIRLINES INC",2001,5
"335","SPIRIT AIRLINES INC",2002,2
"336","SPIRIT AIRLINES INC",2003,3
"337","SPIRIT AIRLINES INC",2005,1
"338","SPIRIT AIRLINES INC",2006,1
"339","SPIRIT AIRLINES INC",2008,1
"340","SPIRIT AIRLINES INC",2010,2
"341","SPIRIT AIRLINES INC",2012,1
"342","SPIRIT AIRLINES INC",2014,1
"343","SPIRIT AIRLINES INC",2017,1
"344","ENVOY AIR INC",2014,3
"345","ENVOY AIR INC",2015,2
"346","ENVOY AIR INC",2016,4
"347","ENVOY AIR INC",2018,1
